n:1 mse_avg:1168.17 mse_y:1730.11 mse_u:28.29 mse_v:60.29 psnr_avg:17.46 psnr_y:15.75 psnr_u:33.61 psnr_v:30.33 
n:2 mse_avg:1254.61 mse_y:1857.66 mse_u:28.64 mse_v:68.39 psnr_avg:17.15 psnr_y:15.44 psnr_u:33.56 psnr_v:29.78 
n:3 mse_avg:1256.96 mse_y:1860.55 mse_u:29.78 mse_v:69.78 psnr_avg:17.14 psnr_y:15.43 psnr_u:33.39 psnr_v:29.69 
n:4 mse_avg:1314.70 mse_y:1947.94 mse_u:29.97 mse_v:66.46 psnr_avg:16.94 psnr_y:15.24 psnr_u:33.36 psnr_v:29.90 
n:5 mse_avg:1333.89 mse_y:1977.00 mse_u:31.95 mse_v:63.37 psnr_avg:16.88 psnr_y:15.17 psnr_u:33.09 psnr_v:30.11 
n:6 mse_avg:1367.26 mse_y:2025.57 mse_u:30.33 mse_v:70.98 psnr_avg:16.77 psnr_y:15.07 psnr_u:33.31 psnr_v:29.62 
n:7 mse_avg:1384.69 mse_y:2052.50 mse_u:29.96 mse_v:68.21 psnr_avg:16.72 psnr_y:15.01 psnr_u:33.37 psnr_v:29.79 
n:8 mse_avg:1403.75 mse_y:2080.68 mse_u:29.18 mse_v:70.62 psnr_avg:16.66 psnr_y:14.95 psnr_u:33.48 psnr_v:29.64 
n:9 mse_avg:1401.28 mse_y:2077.24 mse_u:28.27 mse_v:70.44 psnr_avg:16.67 psnr_y:14.96 psnr_u:33.62 psnr_v:29.65 
n:10 mse_avg:1402.13 mse_y:2078.21 mse_u:27.33 mse_v:72.60 psnr_avg:16.66 psnr_y:14.95 psnr_u:33.76 psnr_v:29.52 
n:11 mse_avg:1395.19 mse_y:2068.45 mse_u:27.38 mse_v:69.94 psnr_avg:16.68 psnr_y:14.97 psnr_u:33.76 psnr_v:29.68 
n:12 mse_avg:1397.07 mse_y:2071.03 mse_u:27.05 mse_v:71.26 psnr_avg:16.68 psnr_y:14.97 psnr_u:33.81 psnr_v:29.60 
n:13 mse_avg:1391.20 mse_y:2062.39 mse_u:28.92 mse_v:68.75 psnr_avg:16.70 psnr_y:14.99 psnr_u:33.52 psnr_v:29.76 
n:14 mse_avg:1383.77 mse_y:2051.95 mse_u:28.93 mse_v:65.86 psnr_avg:16.72 psnr_y:15.01 psnr_u:33.52 psnr_v:29.94 
n:15 mse_avg:1387.80 mse_y:2057.75 mse_u:28.78 mse_v:67.06 psnr_avg:16.71 psnr_y:15.00 psnr_u:33.54 psnr_v:29.87 
n:16 mse_avg:1361.19 mse_y:2017.61 mse_u:32.19 mse_v:64.53 psnr_avg:16.79 psnr_y:15.08 psnr_u:33.05 psnr_v:30.03 
n:17 mse_avg:1364.68 mse_y:2022.60 mse_u:30.16 mse_v:67.51 psnr_avg:16.78 psnr_y:15.07 psnr_u:33.34 psnr_v:29.84 
n:18 mse_avg:1345.73 mse_y:1994.64 mse_u:29.61 mse_v:66.20 psnr_avg:16.84 psnr_y:15.13 psnr_u:33.42 psnr_v:29.92 
n:19 mse_avg:1365.49 mse_y:2023.88 mse_u:28.71 mse_v:68.69 psnr_avg:16.78 psnr_y:15.07 psnr_u:33.55 psnr_v:29.76 
n:20 mse_avg:1359.04 mse_y:2014.63 mse_u:28.86 mse_v:66.84 psnr_avg:16.80 psnr_y:15.09 psnr_u:33.53 psnr_v:29.88 
n:21 mse_avg:1390.95 mse_y:2062.35 mse_u:29.35 mse_v:66.94 psnr_avg:16.70 psnr_y:14.99 psnr_u:33.45 psnr_v:29.87 
n:22 mse_avg:1375.92 mse_y:2040.14 mse_u:31.86 mse_v:63.08 psnr_avg:16.74 psnr_y:15.03 psnr_u:33.10 psnr_v:30.13 
n:23 mse_avg:1392.26 mse_y:2063.78 mse_u:29.96 mse_v:68.49 psnr_avg:16.69 psnr_y:14.98 psnr_u:33.36 psnr_v:29.77 
n:24 mse_avg:1388.00 mse_y:2058.12 mse_u:29.66 mse_v:65.91 psnr_avg:16.71 psnr_y:15.00 psnr_u:33.41 psnr_v:29.94 
n:25 mse_avg:1395.19 mse_y:2068.97 mse_u:29.67 mse_v:65.57 psnr_avg:16.68 psnr_y:14.97 psnr_u:33.41 psnr_v:29.96 
n:26 mse_avg:1386.43 mse_y:2056.24 mse_u:30.18 mse_v:63.43 psnr_avg:16.71 psnr_y:15.00 psnr_u:33.33 psnr_v:30.11 
n:27 mse_avg:1321.37 mse_y:1958.65 mse_u:29.67 mse_v:63.94 psnr_avg:16.92 psnr_y:15.21 psnr_u:33.41 psnr_v:30.07 
n:28 mse_avg:1232.66 mse_y:1827.59 mse_u:26.95 mse_v:58.64 psnr_avg:17.22 psnr_y:15.51 psnr_u:33.83 psnr_v:30.45 
n:29 mse_avg:1171.75 mse_y:1736.89 mse_u:25.73 mse_v:57.24 psnr_avg:17.44 psnr_y:15.73 psnr_u:34.03 psnr_v:30.55 
n:30 mse_avg:1107.78 mse_y:1641.57 mse_u:25.78 mse_v:54.58 psnr_avg:17.69 psnr_y:15.98 psnr_u:34.02 psnr_v:30.76 
n:31 mse_avg:1076.11 mse_y:1593.95 mse_u:25.38 mse_v:55.48 psnr_avg:17.81 psnr_y:16.11 psnr_u:34.09 psnr_v:30.69 
n:32 mse_avg:1006.60 mse_y:1491.13 mse_u:24.16 mse_v:50.94 psnr_avg:18.10 psnr_y:16.40 psnr_u:34.30 psnr_v:31.06 
n:33 mse_avg:945.33 mse_y:1400.18 mse_u:23.04 mse_v:48.23 psnr_avg:18.37 psnr_y:16.67 psnr_u:34.51 psnr_v:31.30 
n:34 mse_avg:873.51 mse_y:1293.58 mse_u:21.66 mse_v:45.10 psnr_avg:18.72 psnr_y:17.01 psnr_u:34.77 psnr_v:31.59 
n:35 mse_avg:828.43 mse_y:1226.40 mse_u:19.89 mse_v:45.07 psnr_avg:18.95 psnr_y:17.24 psnr_u:35.14 psnr_v:31.59 
n:36 mse_avg:769.66 mse_y:1139.62 mse_u:19.04 mse_v:40.45 psnr_avg:19.27 psnr_y:17.56 psnr_u:35.33 psnr_v:32.06 
n:37 mse_avg:721.94 mse_y:1068.83 mse_u:18.08 mse_v:38.26 psnr_avg:19.55 psnr_y:17.84 psnr_u:35.56 psnr_v:32.30 
n:38 mse_avg:668.13 mse_y:989.03 mse_u:16.84 mse_v:35.86 psnr_avg:19.88 psnr_y:18.18 psnr_u:35.87 psnr_v:32.59 
n:39 mse_avg:631.78 mse_y:935.48 mse_u:14.10 mse_v:34.67 psnr_avg:20.13 psnr_y:18.42 psnr_u:36.64 psnr_v:32.73 
n:40 mse_avg:559.37 mse_y:828.23 mse_u:13.62 mse_v:29.67 psnr_avg:20.65 psnr_y:18.95 psnr_u:36.79 psnr_v:33.41 
n:41 mse_avg:537.08 mse_y:794.82 mse_u:13.01 mse_v:30.16 psnr_avg:20.83 psnr_y:19.13 psnr_u:36.99 psnr_v:33.34 
n:42 mse_avg:503.04 mse_y:744.28 mse_u:13.09 mse_v:28.07 psnr_avg:21.11 psnr_y:19.41 psnr_u:36.96 psnr_v:33.65 
n:43 mse_avg:472.27 mse_y:698.47 mse_u:12.76 mse_v:27.01 psnr_avg:21.39 psnr_y:19.69 psnr_u:37.07 psnr_v:33.82 
n:44 mse_avg:439.02 mse_y:649.41 mse_u:11.85 mse_v:24.63 psnr_avg:21.71 psnr_y:20.01 psnr_u:37.39 psnr_v:34.22 
n:45 mse_avg:396.76 mse_y:586.92 mse_u:10.32 mse_v:22.56 psnr_avg:22.15 psnr_y:20.44 psnr_u:37.99 psnr_v:34.60 
n:46 mse_avg:362.04 mse_y:535.55 mse_u:9.58 mse_v:20.51 psnr_avg:22.54 psnr_y:20.84 psnr_u:38.32 psnr_v:35.01 
n:47 mse_avg:346.47 mse_y:511.95 mse_u:9.23 mse_v:21.80 psnr_avg:22.73 psnr_y:21.04 psnr_u:38.48 psnr_v:34.75 
n:48 mse_avg:322.08 mse_y:475.50 mse_u:8.61 mse_v:21.88 psnr_avg:23.05 psnr_y:21.36 psnr_u:38.78 psnr_v:34.73 
n:49 mse_avg:290.38 mse_y:428.63 mse_u:8.11 mse_v:19.66 psnr_avg:23.50 psnr_y:21.81 psnr_u:39.04 psnr_v:35.19 
n:50 mse_avg:257.06 mse_y:379.37 mse_u:7.03 mse_v:17.84 psnr_avg:24.03 psnr_y:22.34 psnr_u:39.66 psnr_v:35.62 
n:51 mse_avg:239.64 mse_y:353.91 mse_u:6.66 mse_v:15.55 psnr_avg:24.34 psnr_y:22.64 psnr_u:39.90 psnr_v:36.21 
n:52 mse_avg:224.57 mse_y:331.37 mse_u:6.50 mse_v:15.44 psnr_avg:24.62 psnr_y:22.93 psnr_u:40.00 psnr_v:36.24 
n:53 mse_avg:221.20 mse_y:326.23 mse_u:6.30 mse_v:15.97 psnr_avg:24.68 psnr_y:23.00 psnr_u:40.14 psnr_v:36.10 
n:54 mse_avg:222.22 mse_y:327.54 mse_u:6.05 mse_v:17.11 psnr_avg:24.66 psnr_y:22.98 psnr_u:40.32 psnr_v:35.80 
n:55 mse_avg:215.39 mse_y:317.22 mse_u:5.94 mse_v:17.50 psnr_avg:24.80 psnr_y:23.12 psnr_u:40.39 psnr_v:35.70 
n:56 mse_avg:215.12 mse_y:316.71 mse_u:5.89 mse_v:18.01 psnr_avg:24.80 psnr_y:23.12 psnr_u:40.43 psnr_v:35.58 
n:57 mse_avg:190.63 mse_y:280.87 mse_u:5.49 mse_v:14.85 psnr_avg:25.33 psnr_y:23.65 psnr_u:40.74 psnr_v:36.41 
