time,x,y,z
0.0,-0.3736,-0.4584,-0.8064
0.2,0.3322,-0.416,0.8466
0.4,-0.5153,0.8481,-0.1234
0.6,0.7987,-0.2363,0.5534
0.8,-0.8154,-0.4544,0.3587
1.0,0.168,0.9526,0.2535
1.2,0.4998,-0.8598,0.1049
1.4,-0.6587,0.2319,0.7158
1.6,-0.0189,-0.0066,0.9998
1.8,0.1885,-0.924,-0.3327
2.0,-0.3245,-0.2903,-0.9002
2.2,0.0378,-0.0827,-0.9959
2.4,-0.3932,-0.3383,-0.8549
2.6,0.4342,0.8913,-0.131
2.8,0.267,-0.4153,0.8696
3.0,-0.8765,-0.3653,0.3134
3.2,-0.0081,-0.0076,-0.9999
3.4,-0.246,-0.9158,-0.3175
3.6,0.4644,0.5592,-0.6867
3.8,-0.0169,0.944,-0.3294
4.0,-0.8099,-0.2842,0.513
4.2,0.0206,-0.8751,0.4835
4.4,0.0228,-0.0673,0.9975
4.6,0.5428,-0.1367,0.8287
4.8,-0.2193,0.3071,-0.9261
5.0,0.7374,0.2063,-0.6431
5.2,0.3017,0.3553,0.8847
5.4,0.3072,-0.2648,0.9141
5.6,0.7511,-0.2894,-0.5933
5.8,0.2384,0.9213,0.3072
6.0,0.3983,-0.6561,0.641
6.2,-0.5826,-0.6507,-0.487
6.4,0.8307,0.1939,0.5219
6.6,-0.0675,0.0957,0.9931
6.8,-0.6865,-0.7209,0.0954
7.0,0.8771,0.0877,-0.4723
7.2,-0.0824,-0.9939,-0.0739
7.4,0.0509,-0.0252,-0.9984
7.6,0.9458,-0.1643,0.2801
7.8,0.1116,-0.2358,0.9654
8.0,-0.0071,-0.1329,0.9911
8.2,0.592,0.0222,-0.8056
8.4,0.6938,0.3412,0.6342
8.6,-0.6107,-0.7773,0.1512
8.8,-0.4343,-0.0562,0.899
9.0,0.5906,-0.6163,0.521
9.2,0.8219,-0.567,-0.0539
9.4,-0.1045,-0.1192,0.9874
9.6,0.1672,-0.1919,-0.9671
9.8,-0.167,0.4398,0.8824
10.0,0.8362,-0.532,-0.1331
10.2,0.9907,0.1147,0.0732
10.4,0.4045,0.3147,-0.8587
10.6,0.1963,0.9222,-0.3331
10.8,0.0894,-0.7761,0.6242
11.0,-0.0126,0.9976,-0.0678
11.2,0.123,-0.7271,0.6754
11.4,-0.3184,0.2712,0.9083
11.6,-0.683,-0.7304,-0.0004
11.8,0.7789,0.5985,0.1874
12.0,-0.4537,-0.0904,-0.8866
12.2,0.3779,0.1419,0.9149
12.4,-0.7026,-0.1468,-0.6963
12.6,-0.6703,0.2281,0.7062
12.8,0.8704,-0.4771,-0.1214
13.0,-0.0447,0.0086,-0.999
13.2,-0.8526,0.5213,-0.0364
13.4,0.9881,-0.0291,-0.1508
13.6,0.3063,0.884,-0.3533
13.8,0.1527,0.8059,-0.572
14.0,0.7302,-0.4568,0.508
14.2,0.3593,-0.5884,0.7244
14.4,-0.7079,0.6963,0.1185
14.6,-0.1602,0.012,0.987
14.8,0.5184,-0.5078,0.6881
15.0,-0.0502,0.0577,-0.9971
15.2,-0.0576,-0.9406,-0.3346
15.4,-0.0603,-0.998,0.0172
15.6,-0.1089,0.1003,0.989
15.8,-0.8582,0.2933,-0.4213
16.0,-0.4116,-0.8678,0.2784
16.2,0.482,-0.6515,0.5858
16.4,0.776,-0.2292,0.5876
16.6,0.9623,-0.1167,0.2458
16.8,-0.981,-0.0423,0.1891
17.0,0.6199,-0.0574,0.7826
17.2,-0.1434,0.8405,-0.5225
17.4,-0.6649,-0.1705,0.7272
17.6,0.6084,0.5021,-0.6146
17.8,0.3563,-0.2397,-0.9031
18.0,-0.4796,0.4488,-0.754
18.2,-0.1675,0.2628,-0.9502
18.4,0.4208,-0.7512,-0.5086
18.6,-0.0583,0.562,-0.8251
18.8,0.689,0.5252,0.4994
19.0,-0.2443,0.7407,-0.6259
19.2,0.5593,0.8069,-0.19
19.4,-0.1075,-0.0697,0.9918
19.6,-0.0819,0.6241,0.777
19.8,0.0137,0.0047,0.9999
20.0,-0.5964,-0.2946,0.7466
20.2,-0.5382,-0.5289,-0.6563
20.4,0.232,-0.7674,0.5977
20.6,0.8195,-0.0302,0.5722
20.8,0.1261,0.0265,0.9917
21.0,-0.617,-0.7408,0.2657
21.2,-0.5357,0.2167,-0.8161
21.4,0.5221,-0.4469,-0.7264
21.6,0.236,-0.1782,-0.9553
21.8,0.7031,0.1785,0.6884
22.0,-0.7421,-0.67,-0.0215
22.2,0.6011,-0.7655,-0.2296
22.4,0.6687,-0.2219,-0.7097
22.6,-0.5602,0.6585,0.5026
22.8,0.3325,0.2464,0.9103
23.0,-0.0409,0.4624,0.8857
23.2,-0.9371,-0.3103,0.16
23.4,-0.0644,0.0275,0.9975
23.6,0.6587,-0.5672,-0.4943
23.8,0.6569,0.3328,-0.6766
24.0,0.3699,0.8339,0.4095
24.2,-0.1453,0.9276,-0.3441
24.4,-0.4713,0.1489,-0.8693
24.6,0.1521,-0.4993,0.853
24.8,-0.0176,0.0185,0.9997
