time,x,y,z,quadrant
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.13,0.0000,-0.0000,-1.0000,0
0.18,0.0000,-0.0000,-1.0000,0
0.24,0.0000,-0.0000,-1.0000,0
0.37,0.0000,-0.0000,-1.0000,0
0.47,0.0000,-0.0000,-1.0000,0
0.56,0.0000,-0.0000,-1.0000,0
0.65,0.0000,-0.0000,-1.0000,0
0.77,0.0000,-0.0000,-1.0000,0
0.86,0.0000,-0.0000,-1.0000,0
0.95,0.0000,-0.0000,-1.0000,0
1.04,0.0000,-0.0000,-1.0000,0
1.18,0.0000,-0.0000,-1.0000,0
1.31,0.0000,-0.0000,-1.0000,0
1.34,0.0000,-0.0000,-1.0000,0
1.44,0.0000,-0.0000,-1.0000,0
1.55,0.0000,-0.0000,-1.0000,0
1.65,0.0000,-0.0000,-1.0000,0
1.74,0.0000,-0.0000,-1.0000,0
1.84,0.0000,-0.0000,-1.0000,0
1.94,0.0000,-0.0000,-1.0000,0
2.05,0.0000,-0.0000,-1.0000,0
2.15,0.0000,-0.0000,-1.0000,0
2.24,0.0000,-0.0000,-1.0000,0
2.35,0.0000,-0.0000,-1.0000,0
2.44,0.0000,-0.0000,-1.0000,0
2.55,0.0000,-0.0000,-1.0000,0
2.64,0.0000,-0.0000,-1.0000,0
2.75,0.0000,-0.0000,-1.0000,0
2.84,0.0000,-0.0000,-1.0000,0
2.94,0.0000,-0.0000,-1.0000,0
3.05,0.0000,-0.0000,-1.0000,0
3.14,0.0000,-0.0000,-1.0000,0
3.25,0.0000,-0.0000,-1.0000,0
3.35,0.0000,-0.0000,-1.0000,0
3.45,0.0000,-0.0000,-1.0000,0
3.55,0.0000,-0.0000,-1.0000,0
3.65,0.0000,-0.0000,-1.0000,0
3.75,0.0000,-0.0000,-1.0000,0
3.84,0.0000,-0.0000,-1.0000,0
3.95,0.0000,-0.0000,-1.0000,0
4.04,0.0000,-0.0000,-1.0000,0
4.15,0.0000,-0.0000,-1.0000,0
4.25,0.0000,-0.0000,-1.0000,0
4.35,0.0000,-0.0000,-1.0000,0
4.47,0.0000,-0.0000,-1.0000,0
4.56,0.0000,-0.0000,-1.0000,0
4.65,0.0000,-0.0000,-1.0000,0
4.74,0.0000,-0.0000,-1.0000,0
4.85,0.0000,-0.0000,-1.0000,0
4.94,0.0000,-0.0000,-1.0000,0
5.05,0.0000,-0.0000,-1.0000,0
5.15,0.0000,-0.0000,-1.0000,0
5.24,0.0000,-0.0000,-1.0000,0
5.35,0.0000,-0.0000,-1.0000,0
5.44,0.0000,-0.0000,-1.0000,0
5.55,0.0000,-0.0000,-1.0000,0
5.65,0.0000,-0.0000,-1.0000,0
5.75,0.0000,-0.0000,-1.0000,0
5.85,0.0000,-0.0000,-1.0000,0
5.95,0.0000,-0.0000,-1.0000,0
6.05,0.0000,-0.0000,-1.0000,0
6.14,0.0000,-0.0000,-1.0000,0
6.25,0.0000,-0.0000,-1.0000,0
6.34,0.0000,-0.0000,-1.0000,0
6.45,0.0354,-0.0000,-0.9994,2
6.55,0.0990,-0.0000,-0.9951,2
6.65,0.1760,0.0283,-0.9840,2
6.75,0.3877,0.2384,-0.8904,2
6.85,0.5184,0.3266,-0.7903,2
6.95,0.5863,0.2862,-0.7579,2
7.04,0.6308,0.2726,-0.7265,2
7.14,0.6796,0.2997,-0.6695,2
7.24,0.7261,0.3862,-0.5689,2
7.35,0.7455,0.4186,-0.5188,2
7.44,0.7477,0.4567,-0.4820,2
7.55,0.7477,0.4567,-0.4820,2
7.65,0.7477,0.4567,-0.4820,2
7.75,0.7545,0.4567,-0.4713,2
7.85,0.7545,0.4567,-0.4713,2
7.95,0.7545,0.4567,-0.4713,2
8.05,0.7545,0.4567,-0.4713,2
8.14,0.7545,0.4567,-0.4713,2
8.25,0.7545,0.4567,-0.4713,2
8.34,0.7545,0.4567,-0.4713,2
8.44,0.7545,0.4567,-0.4713,2
8.54,0.7545,0.4567,-0.4713,2
8.65,0.7545,0.4567,-0.4713,2
8.75,0.7545,0.4567,-0.4713,2
8.84,0.7545,0.4567,-0.4713,2
8.95,0.7545,0.4567,-0.4713,2
9.04,0.7545,0.4567,-0.4713,2
9.15,0.7545,0.4567,-0.4713,2
9.25,0.7545,0.4567,-0.4713,2
9.35,0.7545,0.4567,-0.4713,2
9.46,0.7545,0.4567,-0.4713,2
9.54,0.7545,0.4567,-0.4713,2
9.65,0.7545,0.4567,-0.4713,2
9.74,0.7545,0.4567,-0.4713,2
9.85,0.7545,0.4567,-0.4713,2
9.94,0.7274,0.4941,-0.4762,2
10.05,0.5054,0.4504,-0.7360,2
10.15,0.3410,0.4693,-0.8145,2
10.25,0.2282,0.4250,-0.8760,2
10.35,0.0462,0.3599,-0.9319,2
10.45,0.0131,0.3731,-0.9277,2
10.55,0.0131,0.3731,-0.9277,2
10.64,0.0131,0.3796,-0.9251,2
10.74,0.0000,0.3796,-0.9251,0
10.84,-0.0066,0.3466,-0.9380,0
10.95,-0.0067,0.3132,-0.9497,0
11.05,0.0478,0.2658,-0.9628,2
11.14,0.0902,0.1900,-0.9776,2
11.25,0.1129,0.0425,-0.9927,2
11.34,0.1341,-0.0142,-0.9909,6
11.45,0.1544,-0.0990,-0.9830,6
11.54,0.1539,-0.1271,-0.9799,6
11.65,0.1537,-0.1341,-0.9790,6
11.75,0.1537,-0.1341,-0.9790,6
11.85,0.1537,-0.1341,-0.9790,6
11.95,0.1537,-0.1341,-0.9790,6
12.05,0.1537,-0.1341,-0.9790,6
12.15,0.1537,-0.1341,-0.9790,6
12.25,0.1537,-0.1341,-0.9790,6
12.34,0.1468,-0.1341,-0.9800,6
12.45,0.1050,-0.1341,-0.9854,6
12.54,0.1050,-0.1341,-0.9854,6
12.65,0.0981,-0.1341,-0.9861,6
12.75,0.0983,-0.1130,-0.9887,6
12.85,0.0916,-0.0778,-0.9927,6
12.95,-0.0071,-0.0212,-0.9997,4
13.05,-0.0566,-0.0142,-0.9983,4
13.15,-0.0637,-0.0142,-0.9979,4
13.25,-0.0637,-0.0142,-0.9979,4
13.35,-0.0637,-0.0142,-0.9979,4
13.44,-0.0637,-0.0142,-0.9979,4
13.56,-0.0354,-0.0142,-0.9993,4
13.64,-0.0142,-0.0212,-0.9997,4
13.76,0.0071,-0.0212,-0.9997,6
13.85,0.0142,-0.0283,-0.9995,6
13.94,0.0142,-0.0283,-0.9995,6
14.05,0.0142,-0.0283,-0.9995,6
14.14,0.0142,-0.0283,-0.9995,6
14.25,0.0142,-0.0283,-0.9995,6
14.35,0.0142,-0.0283,-0.9995,6
14.45,0.0142,-0.0283,-0.9995,6
14.55,0.0142,-0.0283,-0.9995,6
14.64,0.0142,-0.0283,-0.9995,6
14.75,0.0142,-0.0283,-0.9995,6
14.84,0.0142,-0.0283,-0.9995,6
14.95,0.0142,-0.0283,-0.9995,6
15.04,0.0142,-0.0283,-0.9995,6
15.15,0.0142,-0.0283,-0.9995,6
15.25,0.0142,-0.0283,-0.9995,6
15.35,0.0142,-0.0283,-0.9995,6
15.45,0.0142,-0.0283,-0.9995,6
15.55,0.0142,-0.0283,-0.9995,6
15.65,0.0142,-0.0283,-0.9995,6
15.74,0.0142,-0.0283,-0.9995,6
15.85,0.0142,-0.0283,-0.9995,6
15.94,0.0142,-0.0283,-0.9995,6
16.05,0.0142,-0.0283,-0.9995,6
16.14,0.0142,-0.0283,-0.9995,6
16.25,0.0142,-0.0283,-0.9995,6
16.34,0.0142,-0.0283,-0.9995,6
16.45,0.0142,-0.0283,-0.9995,6
16.55,0.0142,-0.0283,-0.9995,6
16.65,0.0142,-0.0283,-0.9995,6
16.75,0.0142,-0.0283,-0.9995,6
16.84,0.0142,-0.0283,-0.9995,6
16.95,0.0142,-0.0283,-0.9995,6
17.05,0.0142,-0.0283,-0.9995,6
17.15,0.0142,-0.0283,-0.9995,6
17.25,0.0142,-0.0283,-0.9995,6
17.34,0.0142,-0.0283,-0.9995,6
17.45,0.0142,-0.0283,-0.9995,6
17.54,0.0142,-0.0283,-0.9995,6
17.65,0.0142,-0.0283,-0.9995,6
17.74,0.0142,-0.0283,-0.9995,6
17.85,0.0142,-0.0283,-0.9995,6
17.94,0.0142,-0.0283,-0.9995,6
18.05,0.0142,-0.0283,-0.9995,6
18.15,0.0142,-0.0283,-0.9995,6
18.24,0.0142,-0.0283,-0.9995,6
18.35,0.0142,-0.0283,-0.9995,6
18.45,0.0142,-0.0283,-0.9995,6
18.55,0.0142,-0.0283,-0.9995,6
18.65,0.0142,-0.0283,-0.9995,6
18.74,0.0142,-0.0283,-0.9995,6
18.85,0.0142,-0.0283,-0.9995,6
18.95,0.0142,-0.0283,-0.9995,6
19.05,0.0142,-0.0283,-0.9995,6
19.15,0.0142,-0.0283,-0.9995,6
19.25,0.0142,-0.0283,-0.9995,6
19.35,0.0142,-0.0283,-0.9995,6
19.45,0.0142,-0.0283,-0.9995,6
19.55,0.0142,-0.0283,-0.9995,6
19.65,0.0142,-0.0283,-0.9995,6
19.75,0.0142,-0.0283,-0.9995,6
19.85,0.0142,-0.0283,-0.9995,6
19.94,0.0142,-0.0283,-0.9995,6
20.05,0.0142,-0.0283,-0.9995,6
20.14,0.0207,-0.2246,-0.9742,6
20.25,0.0188,-0.4630,-0.8861,6
20.34,0.0274,-0.7648,-0.6436,6
20.45,0.0237,-0.9281,-0.3715,6
20.55,0.0142,-0.9746,-0.2233,6
20.65,0.0098,-0.9880,-0.1539,6
20.75,0.0049,-0.9970,-0.0768,6
20.85,0.0000,-1.0000,-0.0000,6
20.94,0.0000,-1.0000,-0.0000,6
21.05,0.0000,-1.0000,-0.0000,6
21.15,0.0000,-1.0000,-0.0000,6
21.24,0.0000,-1.0000,-0.0000,6
21.35,0.0000,-1.0000,-0.0000,6
